tier,tier_label,n_cells,series,target,target_label,sparsity,retained_fraction,value,ci_lo,ci_hi,ci_status,n,unit,gate,note
small,≤3.8B,4,delta_vs_dense_v9,,,0.95,0.050000000000000044,0.055612,-0.040972,0.194685,covers 0,4,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
small,≤3.8B,4,delta_vs_dense_v9,,,0.97,0.030000000000000027,-0.009106,-0.114599,0.172111,covers 0,4,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
small,≤3.8B,4,delta_vs_dense_v9,,,0.99,0.010000000000000009,-0.075355,-0.166515,0.015805,covers 0,4,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
small,≤3.8B,4,delta_vs_dense_v9,,,0.995,0.0050000000000000044,-0.225596,-0.284714,-0.155475,excludes 0,4,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
small,≤3.8B,4,delta_vs_dense_v9,,,0.999,0.0010000000000000009,-0.416525,-0.513146,-0.330722,excludes 0,4,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.5,0.5,0.025758,-0.024589,0.089640,covers 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.9,0.09999999999999998,0.066538,-0.031213,0.181954,covers 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.95,0.050000000000000044,0.055612,-0.040972,0.194685,covers 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.97,0.030000000000000027,-0.009106,-0.114599,0.172111,covers 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.99,0.010000000000000009,-0.075355,-0.166515,0.015805,covers 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.995,0.0050000000000000044,-0.225596,-0.284714,-0.155475,excludes 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,4,delta_vs_dense_sensitivity_fails_dropped,,,0.999,0.0010000000000000009,-0.416525,-0.513146,-0.330722,excludes 0,4,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
small,≤3.8B,,annotation.n_budget_fail,,,,,0,,,,96,rows,v9,0 of 96 v9 rows are budget-fails (as-run: 0)
small,≤3.8B,4,annotation.cliff_level,,,0.995,0.0050000000000000044,-0.225596,-0.284714,-0.155475,excludes 0,4,removal delta,v9,negative and excludes 0 -> shaded as cliff
small,≤3.8B,4,annotation.cliff_level,,,0.999,0.0010000000000000009,-0.416525,-0.513146,-0.330722,excludes 0,4,removal delta,v9,negative and excludes 0 -> shaded as cliff
small,≤3.8B,,patch_payload_mib_axis_range,,,0.0,1.0,40.5003–108.0001,40.5003,108.0001,,4,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
small,≤3.8B,,patch_payload_mib_axis_range,,,0.9,0.09999999999999998,4.0503–10.8001,4.0503,10.8001,,4,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
small,≤3.8B,,patch_payload_mib_axis_range,,,0.99,0.010000000000000009,0.4053–1.0801,0.4053,1.0801,,4,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
small,≤3.8B,,patch_payload_mib_axis_range,,,0.999,0.0010000000000000009,0.0408–0.1081,0.0408,0.1081,,4,MiB (bytes/2**20),v9,printed on the secondary axis; payload only
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.0,1.0,40.500275,40.500275,40.500275,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.5,0.5,20.250274,20.250273,20.250274,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.9,0.09999999999999998,4.050274,4.050274,4.050275,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.95,0.050000000000000044,2.025274,2.025274,2.025275,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.97,0.030000000000000027,1.215275,1.215274,1.215275,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.99,0.010000000000000009,0.405275,0.405275,0.405275,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.995,0.0050000000000000044,0.202775,0.202775,0.202775,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,qwen,qwen-3B,0.999,0.0010000000000000009,0.040775,0.040775,0.040775,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.0,1.0,108.000061,108.000061,108.000061,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.5,0.5,54.000057,54.000054,54.000059,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.9,0.09999999999999998,10.800060,10.800059,10.800061,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.95,0.050000000000000044,5.400060,5.400060,5.400061,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.97,0.030000000000000027,3.240060,3.240060,3.240060,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.99,0.010000000000000009,1.080061,1.080061,1.080061,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.995,0.0050000000000000044,0.540061,0.540061,0.540061,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,phi,phi-3.8B,0.999,0.0010000000000000009,0.108061,0.108061,0.108061,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.0,1.0,43.875198,43.875198,43.875198,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
small,≤3.8B,,patch_payload_mib,gemma,gemma-2.6B,0.5,0.5,21.937697,21.937696,21.937697,,3,MiB (bytes/2**20),v9 (size is gate-invariant),"payload only: bits + per-tensor scales, no support index"
